region,week_end_date,historical_endogeneous,wILI
X,2015-05-16,1.3468,1.3468
X,2015-05-23,1.25452,1.25452
X,2015-05-30,1.21636,1.21636
X,2015-06-06,1.16734,1.16734
X,2015-06-13,1.04654,1.04654
X,2015-06-20,0.9436610000000001,0.9436610000000001
X,2015-06-27,0.9350459999999999,0.9350459999999999
X,2015-07-04,0.9347260000000001,0.9347260000000001
X,2015-07-11,0.864118,0.864118
X,2015-07-18,0.806535,0.806535
X,2015-07-25,0.742747,0.742747
X,2015-08-01,0.737859,0.737859
X,2015-08-08,0.743224,0.743224
X,2015-08-15,0.805251,0.805251
X,2015-08-22,0.816943,0.816943
X,2015-08-29,0.8145180000000001,0.8145180000000001
X,2015-09-05,0.86067,0.86067
X,2015-09-12,0.886704,0.886704
X,2015-09-19,1.00845,1.00845
X,2015-09-26,1.06625,1.06625
X,2015-10-03,1.05995,1.05995
X,2015-10-10,1.22559,1.22559
X,2015-10-17,1.31066,1.31066
X,2015-10-24,1.3711,1.3711
X,2015-10-31,1.39171,1.39171
X,2015-11-07,1.4371200000000002,1.4371200000000002
X,2015-11-14,1.50165,1.50165
X,2015-11-21,1.59805,1.59805
X,2015-11-28,1.89668,1.89668
X,2015-12-05,1.6772799999999999,1.6772799999999999
X,2015-12-12,1.7829599999999999,1.7829599999999999
X,2015-12-19,1.87336,1.87336
X,2015-12-26,2.3214799999999998,2.3214799999999998
X,2016-01-02,2.40991,2.40991
X,2016-01-09,1.94328,1.94328
X,2016-01-16,1.99796,1.99796
X,2016-01-23,2.11829,2.11829
X,2016-01-30,2.2511200000000002,2.2511200000000002
X,2016-02-06,2.3711599999999997,2.3711599999999997
X,2016-02-13,2.80035,2.80035
X,2016-02-20,3.16475,3.16475
X,2016-02-27,3.15183,3.15183
X,2016-03-05,3.3321,3.3321
X,2016-03-12,3.5602400000000003,3.5602400000000003
X,2016-03-19,3.05479,3.05479
X,2016-03-26,2.7673200000000002,2.7673200000000002
X,2016-04-02,2.44161,2.44161
X,2016-04-09,2.03348,2.03348
X,2016-04-16,1.98593,1.98593
X,2016-04-23,1.91514,1.91514
X,2016-04-30,1.6996799999999999,1.6996799999999999
X,2016-05-07,1.57635,1.57635
X,2016-05-14,1.3935,1.3935
X,2016-05-21,1.29941,1.29941
X,2016-05-28,1.18379,1.18379
X,2016-06-04,1.13723,1.13723
X,2016-06-11,1.04118,1.04118
X,2016-06-18,0.971814,0.971814
X,2016-06-25,0.8633059999999999,0.8633059999999999
X,2016-07-02,0.8337969999999999,0.8337969999999999
X,2016-07-09,0.784516,0.784516
X,2016-07-16,0.7343270000000001,0.7343270000000001
X,2016-07-23,0.6988449999999999,0.6988449999999999
X,2016-07-30,0.7230989999999999,0.7230989999999999
X,2016-08-06,0.663501,0.663501
X,2016-08-13,0.69276,0.69276
X,2016-08-20,0.710029,0.710029
X,2016-08-27,0.834232,0.834232
